lindbergh|.game
3DO Interactive Multiplayer|.iso;.cue;.chd;.m3u
3do|.iso;.cue;.chd;.m3u
3ds|.squashfs
64dd|.ndd;.v64;.z65;.n64;.wad;.zip;.7Z
a2600|.a26;.bin;.zip;.7z;.rom
a5200|.xfd;.atr;.atx;.cdm;.cas;.bin;.a52;.xex;.zip;.rom
a7800|.a78;.bin;.zip;.7z
a800|.xfd;.atr;.atx;.cdm;.cas;.bin;.xex;.zip;.m3u;.rom
Aamber Pegasus|.zip;.cpr;.rar;.bin;.a26;.a52;.a78;.lnx;.snp;.rom;.int;.cue;.iso;.chd;.st2;.sg;.7z;.dsk;.lbr;.bas;.com;.md5;.sad;.ticart
ace4000|.zip;.7z;.tap;.wav;.ace
Acorn Archimedes|.mfi;.dfi;.hfe;.mfm;.td0;.imd;.d77;.d88;.1dd;.cqm;.cqi;.dsk;.ima;.img;.ufi;.360;.ipf;.adf;.apd;.jfd;.ads;.adm;.adl;.ssd;.bbc;.dsd;.st;.msa;.chd;.zip;.7z
Acorn Atom|.wav;.tap;.csw;.uef;.mfi;.dfi;.hfe;.mfm;.td0;.imd;.d77;.d88;.1dd;.cqm;.cqi;.dsk;.40t;.atm;.bin;.rom;.zip;.7z
Acorn Electron|.wav;.csw;.uef;.mfi;.dfi;.hfe;.mfm;.td0;.imd;.d77;.d88;.1dd;.cqm;.cqi;.dsk;.ssd;.bbc;.img;.dsd;.adf;.ads;.adm;.adl;.rom;.bin;.zip;.7z
actionmax|.daphne;.7z;.zip;.rar;.squashfs
adam|.wav;.ddp;.mfi;.dfi;.hfe;.mfm;.td0;.imd;.d77;.d88;.1dd;.cqm;.cqi;.dsk;.rom;.col;.bin;.zip;.7z
advision|.bin;.zip;.7z
ags|.bat;.lnk
svmu|.vms
amiga1000|.adf;.uae;.lha;.zip;.ipf;.dms;.mds;.adz;.rp9;.fdi;.iso;.cue;.ccd;.nrg;.hdf;.hdz;.m3u;.7z
amiga1200|.adf;.uae;.lha;.zip;.ipf;.dms;.mds;.adz;.rp9;.fdi;.iso;.cue;.ccd;.nrg;.hdf;.m3u;.dmz;.7z
