Original Name,Cleaned Name,Normalized (OLD),Normalized (NEW),Match OLD,Match NEW,Type OLD,Type NEW,Matched OLD,Matched NEW,Improvement,Partial Match,Similarity Score,Partial Matched Name,Partial Match Type
005,005,005,005,1,1,main,main,005,005,SAME,0,,,
1 on 1 Government (Japan),1 on 1 Government,1on1government,1 on 1 government,1,1,main,main,1 on 1 Government,1 on 1 Government,SAME,0,,,
"10-Yard Fight (World, set 1)",10-Yard Fight,10yardfight,10 yard fight,1,1,main,main,10-Yard Fight,10-Yard Fight,SAME,0,,,
18 Holes Pro Golf (set 1),18 Holes Pro Golf,18holesprogolf,18 holes pro golf,0,0,,,,,SAME,0,,,
1942 (Revision B),1942,1942,1942,1,1,main,main,1942,1942,SAME,0,,,
1943 Kai Midway Kaisen (Japan),1943 Kai Midway Kaisen,1943kaimidwaykaisen,1943 kai midway kaisen,0,0,,,,,SAME,0,,,
1943 The Battle of Midway Mark II (US),1943 The Battle of Midway Mark II,1943thebattleofmidwaymark2,1943 the battle of midway mark ii,1,1,main,main,1943: The Battle of Midway: Mark II,1943: The Battle of Midway: Mark II,SAME,0,,,
1943: The Battle of Midway (Euro),1943: The Battle of Midway,1943thebattleofmidway,1943 the battle of midway,1,1,main,main,1943: The Battle of Midway,1943: The Battle of Midway,SAME,0,,,
"1945k III (newer, OPCX2 PCB)",1945k III,1945k3,1945k iii,1,1,main,main,1945k III,1945k III,SAME,0,,,
2 On 2 Open Ice Challenge (rev 1.21),2 On 2 Open Ice Challenge,2on2openicechallenge,2 on 2 open ice challenge,1,1,main,main,2 on 2 Open Ice Challenge,2 on 2 Open Ice Challenge,SAME,0,,,
280-ZZZAP,280-ZZZAP,280zzzap,280 zzzap,1,1,main,main,280-Zzzap,280-Zzzap,SAME,0,,,
3-D Bowling,3-D Bowling,3dbowling,3 d bowling,1,1,main,main,3-D Bowling!,3-D Bowling!,SAME,0,,,
3X3 Puzzle (Enterprise),3X3 Puzzle,3x3puzzle,3x3 puzzle,1,1,main,main,3X3 Puzzle,3X3 Puzzle,SAME,0,,,
4 En Raya (set 1),4 En Raya,4enraya,4 en raya,1,1,main,main,4 En Raya,4 En Raya,SAME,0,,,
4 Fun in 1,4 Fun in 1,4funin1,4 fun in 1,1,1,main,main,4 Fun in 1,4 Fun in 1,SAME,0,,,
4-D Warriors (315-5162),4-D Warriors,4dwarriors,4 d warriors,1,1,main,main,4-D Warriors,4-D Warriors,SAME,0,,,
64th. Street: A Detective Story (World),64th. Street: A Detective Story,64thstreetadetectivestory,64th street a detective story,1,1,main,main,64th. Street: A Detective Story,64th. Street: A Detective Story,SAME,0,,,
720 Degrees (rev 4),720 Degrees,720degrees,720 degrees,0,0,,,,,SAME,0,,,
800 Fathoms,800 Fathoms,800fathoms,800 fathoms,1,1,main,main,800 Fathoms,800 Fathoms,SAME,0,,,
'88 Games,'88 Games,88games,88 games,1,1,main,main,'88 Games,'88 Games,SAME,0,,,
'96 Flag Rally,'96 Flag Rally,96flagrally,96 flag rally,1,1,main,main,'96 Flag Rally,'96 Flag Rally,SAME,0,,,
9-Ball Shootout (set 1),9-Ball Shootout,9ballshootout,9 ball shootout,1,1,main,main,9-Ball Shootout,9-Ball Shootout,SAME,0,,,
A Day In Space (310387),A Day In Space,dayinspace,day in space,1,1,main,main,A Day in Space,A Day in Space,SAME,0,,,
