Original Name,Cleaned Name,Normalized (OLD),Normalized (NEW),Match OLD,Match NEW,Type OLD,Type NEW,Matched OLD,Matched NEW,Improvement,Partial Match,Custom Similarity Score,Jaro-Winkler Score,Partial Matched Name,Partial Match Type
77 Attempts,77 Attempts,77attempts,77 Attempts,1,1,main,main,77 Attempts,77 Attempts,SAME,0,,,,
Airballs (Playfield),Airballs,airballs,Airballs,1,1,main,main,Airballs,Airballs,SAME,0,,,,
Alloy Box,Alloy Box,alloybox,Alloy Box,1,1,main,main,Alloy Box,Alloy Box,SAME,0,,,,
Amstron (cpcretrodev.byterealms),Amstron,amstron,Amstron,1,0,main,,Ams-Tron,,WORSE,1,1.0,1.0,Ams-Tron,main
Anima,Anima,anima,Anima,1,1,main,main,Anima,Anima,SAME,0,,,,
Arcos (Europe) (Unl),Arcos,arcos,Arcos,1,0,main,,ARCOS,,WORSE,1,1.0,1.0,ARCOS,main
Astrocop,Astrocop,astrocop,Astrocop,1,0,main,,AstroCop,,WORSE,1,1.0,1.0,AstroCop,main
Athanor 2,Athanor 2,athanor2,Athanor 2,0,0,,,,,SAME,1,0.45499999999999996,0.975,Athanor,main
AXYS - The Last Battle,AXYS - The Last Battle,axysthelastbattle,AXYS The Last Battle,1,0,main,,Axys: The Last Battle,,WORSE,1,1.0,1.0,Axys: The Last Battle,main
Balloonacy (Europe) (Unl),Balloonacy,balloonacy,Balloonacy,1,1,main,main,Balloonacy!,Balloonacy!,SAME,0,,,,
Basket Cases (cpcretrodev.byterealms) (Spain),Basket Cases,basketcases,Basket Cases,0,0,,,,,SAME,1,0.34545454545454546,0.890909090909091,Basket Coach,main
BCM The Code Searcher (Europe) (Unl),BCM The Code Searcher,bcmthecodesearcher,BCM The Code Searcher,0,0,,,,,SAME,1,0.2326164874551971,0.6196581196581197,Border Harrier,main
BeTiled! (Europe) (Unl),BeTiled!,betiled,BeTiled,1,0,main,,Betiled!,,WORSE,1,1.0,1.0,Betiled!,main
Bike Masters (cpcretrodev.byterealms),Bike Masters,bikemasters,Bike Masters,1,1,main,main,Bike Masters,Bike Masters,SAME,0,,,,
Bike Masters,Bike Masters,bikemasters,Bike Masters,1,1,main,main,Bike Masters,Bike Masters,SAME,0,,,,
Bitume (cpcretrodev.byterealms),Bitume,bitume,Bitume,1,1,main,main,Bitume,Bitume,SAME,0,,,,
Bugs Quest For Tapes,Bugs Quest For Tapes,bugsquestfortapes,Bugs Quest For Tapes,1,0,main,,Bug's Quest for Tapes,,WORSE,1,1.0,1.0,Bug's Quest for Tapes,main
Chaos Rising,Chaos Rising,chaosrising,Chaos Rising,1,1,main,main,Chaos Rising,Chaos Rising,SAME,0,,,,
Cheman,Cheman,cheman,Cheman,1,1,main,main,Cheman,Cheman,SAME,0,,,,
Chibi Akumas Episode 2 - Confrontation (Keith Sear),Chibi Akumas Episode 2 - Confrontation,chibiakumasepisode2confrontation,Chibi Akumas Episode 2 Confrontation,0,0,,,,,SAME,1,0.47914438502673795,0.9882352941176471,Chibi Akuma(s) Episode 2: Confrontation!,main
Clervermind,Clervermind,clervermind,Clervermind,0,0,,,,,SAME,1,0.3,0.8143939393939394,Clever & Smart,main
CPCRogue (cpcretrodev.byterealms),CPCRogue,cpcrogue,CPCRogue,0,0,,,,,SAME,1,0.24666666666666667,0.5750000000000001,La Cite Perdue,main
"Cris, Odd Prelude","Cris, Odd Prelude",crisoddprelude,Cris Odd Prelude,0,0,,,,,SAME,1,0.2225,0.6240079365079364,Circuito De Lemans,main
"Dark Knight Shadow Of Madness, The (Mananuk)","Dark Knight Shadow Of Madness, The",darkknightshadowofmadness,Dark Knight Shadow Of Madness The,1,0,main,,Dark Knight: Shadow of Madness,,WORSE,1,1.0,1.0,Dark Knight: Shadow of Madness,main
Darkula 64,Darkula 64,darkula64,Darkula 64,1,1,main,main,Darkula 64,Darkula 64,SAME,0,,,,
Death Sword (CPC+) (Europe) (Unl),Death Sword,deathsword,Death Sword,0,0,,,,,SAME,1,0.3094736842105263,0.8533333333333333,Death Wake,main
Deeper Warrens,Deeper Warrens,deeperwarrens,Deeper Warrens,1,1,main,main,Deeper Warrens,Deeper Warrens,SAME,0,,,,
Dire Dare (cpcretrodev.byterealms),Dire Dare,diredare,Dire Dare,1,1,main,main,Dire Dare,Dire Dare,SAME,0,,,,
Druid & Droid (cpcretrodev.byterealms),Druid & Droid,druiddroid,Druid Droid,1,1,main,main,Druid & Droid,Druid & Droid,SAME,0,,,,
Duck Out!,Duck Out!,duckout,Duck Out,0,0,,,,,SAME,1,0.33246753246753247,0.8083333333333333,The Duct,main
Edge Grinder (Europe) (Unl),Edge Grinder,edgegrinder,Edge Grinder,1,1,main,main,Edge Grinder,Edge Grinder,SAME,0,,,,
Epimetheus (cpcretrodev.byterealms),Epimetheus,epimetheus,Epimetheus,1,1,main,main,Epimetheus,Epimetheus,SAME,0,,,,
Eridu The Space Port,Eridu The Space Port,eriduthespaceport,Eridu The Space Port,0,0,,,,,SAME,1,0.2323529411764706,0.6076203208556149,Enduro Racer,main
Fitzroy And The Missing Chair,Fitzroy And The Missing Chair,fitzroyandthemissingchair,Fitzroy And The Missing Chair,0,0,,,,,SAME,1,0.199,0.5888888888888889,Frankenstein Jnr.,main
Foggy's Quest To Narg And Back Again! (Amstradiens),Foggy's Quest To Narg And Back Again!,foggysquesttonargandbackagain,Foggy s Quest To Narg And Back Again,0,0,,,,,SAME,1,0.17871064467766118,0.6232251521298174,Forest at World's End,main
Galastrad,Galastrad,galastrad,Galastrad,0,0,,,,,SAME,1,0.2986111111111111,0.853968253968254,Galaxia,main
77 Attempts,77 Attempts,77attempts,77 Attempts,1,1,main,main,77 Attempts,77 Attempts,SAME,0,,,,
Adios A La Casta - Episode 1 (2015)(4Mhz)(es),Adios A La Casta - Episode 1,adiosalacastaepisode,Adios A La Casta Episode,1,0,main,,Adiós a la Casta: Episode 1,,WORSE,1,1.0,1.0,Adiós a la Casta: Episode 1,main
Adios A La Casta - Episode 2 (2016)(4Mhz)(es)(v1.0)[cr],Adios A La Casta - Episode 2,adiosalacastaepisode2,Adios A La Casta Episode 2,0,0,,,,,SAME,1,0.48315911730545874,0.9904761904761905,Adiós a la Casta: Episode 1,main
"Adventures Of Timothy Gunn, The (2018)(cpcretrodev.byterealms)(v5)[cr]","Adventures Of Timothy Gunn, The",adventuresoftimothygunn,Adventures Of Timothy Gunn The,1,0,main,,The Adventures of Timothy Gunn,,WORSE,1,1.0,1.0,The Adventures of Timothy Gunn,main
Airballs (1989)(Playfield),Airballs,airballs,Airballs,1,1,main,main,Airballs,Airballs,SAME,0,,,,
alloybox-20231103-2030,alloybox-20231103-2030,alloybox202311032030,alloybox 20231103 2030,0,0,,,,,SAME,1,0.25142857142857145,0.88,Alloy Box,main
Anima,Anima,anima,Anima,1,1,main,main,Anima,Anima,SAME,0,,,,
Aqua - Viaje a la Superficie (2006)(CEZ Games Studio)[tape],Aqua - Viaje a la Superficie,aquaviajealasuperficie,Aqua Viaje a la Superficie,0,0,,,,,SAME,1,0.20987012987012987,0.5763403263403264,L'Art de la Guerre,main
Arquimedes XXI (2011)(ESP Soft)(M4)[Basic 1.1],Arquimedes XXI,arquimedesxxi,Arquimedes XXI,1,1,main,main,Arquimedes XXI,Arquimedes XXI,SAME,0,,,,
Astrocop (2022),Astrocop,astrocop,Astrocop,1,0,main,,AstroCop,,WORSE,1,1.0,1.0,AstroCop,main
